COCOMO Preliminary results chaotic bernoulli, chaotic inertial = 0.7:

9.2919963619848,10
49.953343408137,10
34.419879945363,10
11.489448580167,10
58.686639038766,10
38.011474305527,10
9.4803043934996,10
25.128921916196,10
29.068070654145,10
22.675621886439,10
48.761677901627,10
41.350906239411,10
7.390924088394,10
5.2260198128356,10
68.279203787188,10
12.368230505406,10
8.2880110344138,10
19.464050021466,10
19.036812985221,10
11.502227669107,10
49.424987481871,10
28.912649313096,10
41.239930778001,10
7.2626266449941,10
13.919721257634,10
53.878003643994,10
16.102945589352,10
5.1170794513289,10
23.93880019279,10
45.352291979466,10
7.186794946564,20
5.0296038640935,20
8.5326221115978,20
4.4646318799932,20
4.1166229486312,20
4.4669700494132,20
9.5646898139046,20
8.8554800350603,20
10.156699910779,20
4.3815777699803,20
4.4361696460938,20
4.7197134412954,20
6.7494169483759,20
5.9133689497815,20
6.8986902811203,20
6.4572161381165,20
4.2098976862115,20
5.9911181206157,20
52.068956682525,20
5.8947696726294,20
5.664150455286,20
7.4345756414095,20
4.104818624149,20
5.0442556501194,20
5.3089920345809,20
6.1037206187901,20
5.1607981738973,20
11.715572612859,20
4.4082892641195,20
7.6954083829554,20
4.1532614127002,30
4.8486518623969,30
4.8571399093767,30
4.0930243491692,30
4.1832424294868,30
10.827100949067,30
4.1526397532312,30
6.6730941386472,30
4.8820849643224,30
8.5562481021127,30
4.5277134318534,30
4.5892399757203,30
4.2926462526768,30
4.4857067880188,30
4.235126327192,30
4.4139094840936,30
3.9239588837107,30
4.5458622590183,30
4.4505777713805,30
4.9955579061235,30
4.490806629721,30
4.6853021574575,30
7.8310279553927,30
4.6808872719212,30
4.1548644949994,30
4.2925792703015,30
8.2437446743755,30
4.3218289601895,30
4.1786019933761,30
4.9135247403741,30
4.5006792873363,40
4.3812603308526,40
4.5499926903422,40
4.5675790635159,40
4.5458065060438,40
4.1311627748515,40
4.0738847222133,40
4.2182646516016,40
4.3984320736357,40
4.2861903312551,40
4.1004785596801,40
3.9218950396153,40
10.848188839012,40
4.4755545994778,40
4.4579530349737,40
4.8348896567956,40
4.3900272269023,40
4.5676039933435,40
7.2943781733096,40
3.8857730417765,40
5.7753284872445,40
12.45158018035,40
4.5321879525238,40
3.7999480800148,40
4.2833003826958,40
4.4221859356269,40
4.6805544225624,40
4.6976933687178,40
4.81844713891,40
3.9285586371543,40
3.8398821438422,50
4.4471171310582,50
17.149516186679,50
4.2774492585741,50
4.46608086545,50
3.9993564937249,50
4.6224076950607,50
4.5454897211014,50
4.4714394398156,50
4.7393807220551,50
4.5334224693613,50
4.5840202988636,50
4.0845111680525,50
3.9993137241343,50
4.0743359130412,50
4.2584630172858,50
4.7081824599719,50
4.5831398360043,50
4.6844736081254,50
4.3473773943242,50
3.9322933889862,50
4.5641535076375,50
3.5695794844595,50
4.7494305918261,50
4.4177998966704,50
4.6876708795788,50
4.7916522577026,50
4.1558864972211,50
4.518877684582,50
4.692527647338,50
4.8894297428054,60
4.3932440328309,60
4.6758821018166,60
4.2788021812767,60
4.6288014634745,60
7.881038508505,60
4.6192413361226,60
4.1389256598983,60
4.2292953853755,60
3.8619194126473,60
4.0302191565836,60
4.0434161410534,60
4.5544329855255,60
4.2096535640231,60
4.3175711347407,60
6.2998055504106,60
4.6472202130655,60
4.2446945840359,60
4.139815205721,60
4.1347823564941,60
4.2905195599842,60
3.7095573555639,60
4.9103003500583,60
4.4576889909686,60
4.3104957095794,60
3.9584501857757,60
4.4287004871092,60
4.302692031373,60
3.4281771261525,60
4.0292489924594,60
4.0639822913459,70
4.5956878353215,70
4.1629891133338,70
4.6909827278798,70
4.015301964579,70
3.5178243449878,70
3.8849277909327,70
3.9895180290676,70
4.9405395953519,70
4.2486740025081,70
5.0773342146982,70
4.4251442822649,70
3.8051429635808,70
4.0359112973937,70
4.1712622239119,70
4.6647249992498,70
4.5251669450101,70
4.0975421312038,70
4.0188749861804,70
3.9392606531366,70
3.8125298336838,70
4.1221201106485,70
4.2738334797199,70
4.6686419294912,70
4.9007527173107,70
4.1208633580241,70
4.3972514742864,70
4.073972163287,70
4.1655541262059,70
4.0824027996372,70
4.6297672218961,80
4.4777717850206,80
4.3919671814754,80
3.9817012767378,80
3.7942490225279,80
4.0841965356487,80
4.3864145863039,80
4.7818385116178,80
4.2555263410419,80
3.3366719302041,80
3.8810951377916,80
4.2682849648403,80
4.718391278903,80
4.3526039257303,80
3.7795443108436,80
3.7025316656252,80
4.3624655957971,80
4.8069105374637,80
4.7903277406411,80
4.2240399439918,80
4.5448703133507,80
3.8105118171736,80
4.123372772269,80
4.0231367947357,80
4.2635026921341,80
4.7713960950228,80
4.0274788312649,80
4.2164976550405,80
4.2101613345986,80
4.1177323219061,80
3.6976800574547,90
3.9000677943021,90
4.5989253489399,90
3.3917260824698,90
4.4835221229679,90
3.7538092547848,90
4.1058877653049,90
3.9281980976594,90
4.2637586114451,90
4.2325606425772,90
4.8360838270826,90
4.5085276127344,90
4.4859409397732,90
4.0554275023335,90
3.8553614452841,90
4.0108754042461,90
4.375099796323,90
4.4729409023142,90
3.9374230068426,90
4.0446517713664,90
3.7872703241396,90
4.778996214318,90
4.4333873617333,90
4.6398842111324,90
3.9590577144033,90
5.8285429758644,90
4.2099965059067,90
3.7289684378496,90
4.3665340255523,90
4.3876840144275,90
4.4066106852506,100
4.6172715262032,100
3.9197071284704,100
4.0624883682736,100
4.5913022691163,100
4.1864889726216,100
4.1269906504704,100
4.311862722494,100
3.8357938036771,100
3.9456634343788,100
4.3696751807154,100
